,time_code,year,month,day,week
524,20140830,2014,8,30,35
525,20140831,2014,8,31,35
526,20140901,2014,9,1,36
527,20140902,2014,9,2,36
528,20140903,2014,9,3,36
529,20140904,2014,9,4,36
530,20140905,2014,9,5,36
531,20140906,2014,9,6,36
533,20140908,2014,9,8,37
534,20140909,2014,9,9,37
535,20140910,2014,9,10,37
536,20140911,2014,9,11,37
537,20140912,2014,9,12,37
538,20140913,2014,9,13,37
539,20140914,2014,9,14,37
540,20140915,2014,9,15,38
541,20140916,2014,9,16,38
542,20140917,2014,9,17,38
543,20140918,2014,9,18,38
544,20140919,2014,9,19,38
545,20140920,2014,9,20,38
546,20140921,2014,9,21,38
547,20140922,2014,9,22,39
548,20140923,2014,9,23,39
549,20140924,2014,9,24,39
551,20140926,2014,9,26,39
552,20140927,2014,9,27,39
553,20140928,2014,9,28,39
554,20140929,2014,9,29,40
555,20140930,2014,9,30,40
556,20141001,2014,10,1,40
557,20141002,2014,10,2,40
558,20141003,2014,10,3,40
559,20141004,2014,10,4,40
560,20141005,2014,10,5,40
561,20141006,2014,10,6,41
562,20141007,2014,10,7,41
563,20141008,2014,10,8,41
564,20141009,2014,10,9,41
565,20141010,2014,10,10,41
566,20141011,2014,10,11,41
567,20141012,2014,10,12,41
568,20141013,2014,10,13,42
569,20141014,2014,10,14,42
570,20141015,2014,10,15,42
571,20141016,2014,10,16,42
572,20141017,2014,10,17,42
573,20141018,2014,10,18,42
574,20141019,2014,10,19,42
575,20141020,2014,10,20,43
576,20141021,2014,10,21,43
577,20141022,2014,10,22,43
578,20141023,2014,10,23,43
579,20141024,2014,10,24,43
580,20141025,2014,10,25,43
581,20141026,2014,10,26,43
582,20141027,2014,10,27,44
583,20141028,2014,10,28,44
584,20141029,2014,10,29,44
585,20141030,2014,10,30,44
586,20141031,2014,10,31,44
587,20141101,2014,11,1,44
588,20141102,2014,11,2,44
589,20141103,2014,11,3,45
590,20141104,2014,11,4,45
591,20141105,2014,11,5,45
592,20141106,2014,11,6,45
593,20141107,2014,11,7,45
594,20141108,2014,11,8,45
595,20141109,2014,11,9,45
596,20141110,2014,11,10,46
597,20141111,2014,11,11,46
598,20141112,2014,11,12,46
599,20141113,2014,11,13,46
600,20141114,2014,11,14,46
601,20141115,2014,11,15,46
602,20141116,2014,11,16,46
603,20141117,2014,11,17,47
604,20141118,2014,11,18,47
605,20141119,2014,11,19,47
606,20141120,2014,11,20,47
607,20141121,2014,11,21,47
608,20141122,2014,11,22,47
609,20141123,2014,11,23,47
610,20141124,2014,11,24,48
611,20141125,2014,11,25,48
612,20141126,2014,11,26,48
613,20141127,2014,11,27,48
614,20141128,2014,11,28,48
615,20141129,2014,11,29,48
616,20141130,2014,11,30,48
617,20141201,2014,12,1,49
618,20141202,2014,12,2,49
619,20141203,2014,12,3,49
